Repository Name,Repository URL,Default Branch,Star Count,Description,Update_date
cJSON,https://github.com/DaveGamble/cJSON,master,9452,Ultralightweight JSON parser in ANSI C,2023-11-22T08:28:34Z
systeminformer,https://github.com/winsiderss/systeminformer,master,9621,"A free, powerful, multi-purpose tool that helps you monitor system resources, debug software and detect malware. Brought to you by Winsider Seminars & Solutions, Inc. @ http://www.windows-internals.com",2023-11-22T07:04:27Z
GoodbyeDPI,https://github.com/ValdikSS/GoodbyeDPI,master,9615,GoodbyeDPI — Deep Packet Inspection circumvention utility (for Windows),2023-11-22T05:37:31Z
lz4,https://github.com/lz4/lz4,dev,8754,Extremely Fast Compression algorithm,2023-11-22T08:05:06Z
BGAQRCode-Android,https://github.com/bingoogolapple/BGAQRCode-Android,master,7834,QRCode 扫描二维码、扫描条形码、相册获取图片后识别、生成带 Logo 二维码、支持微博微信 QQ 二维码扫描样式,2023-11-21T06:31:21Z
openvpn,https://github.com/OpenVPN/openvpn,master,9306,OpenVPN  is  an open source VPN daemon,2023-11-22T08:38:20Z
i3,https://github.com/i3/i3,next,8682,A tiling window manager for X11,2023-11-22T01:07:47Z
exploitdb,https://github.com/offensive-security/exploitdb,master,7652,The legacy Exploit Database repository - New repo located at https://gitlab.com/exploit-database/exploitdb,2023-11-21T20:54:48Z
Mirai-Source-Code,https://github.com/jgamblin/Mirai-Source-Code,master,8096,Leaked Mirai Source Code for Research/IoC Development Purposes,2023-11-22T10:26:16Z
rt-thread,https://github.com/RT-Thread/rt-thread,master,8978,RT-Thread is an open source IoT real-time operating system (RTOS).,2023-11-22T01:57:13Z
AppImageKit,https://github.com/AppImage/AppImageKit,master,8211,"Package desktop applications as AppImages that run on common Linux-based operating systems, such as RHEL, CentOS, openSUSE, SLED, Ubuntu, Fedora, debian and derivatives. Join #AppImage on irc.libera.chat",2023-11-22T06:03:49Z
jemalloc,https://github.com/jemalloc/jemalloc,dev,8562,,2023-11-22T06:21:43Z
FreeRDP,https://github.com/FreeRDP/FreeRDP,master,9355,FreeRDP is a free remote desktop protocol library and clients,2023-11-22T08:37:30Z
citus,https://github.com/citusdata/citus,main,9160,Distributed PostgreSQL as an extension,2023-11-22T04:43:22Z
db_tutorial,https://github.com/cstack/db_tutorial,master,8909,Writing a sqlite clone from scratch in C,2023-11-21T22:38:16Z
Reverse-Engineering,https://github.com/mytechnotalent/Reverse-Engineering,main,9342,"A FREE comprehensive reverse engineering tutorial covering x86, x64, 32-bit ARM & 64-bit ARM architectures.",2023-11-22T01:51:31Z
cockpit,https://github.com/cockpit-project/cockpit,main,9516,Cockpit is a web-based graphical interface for servers.,2023-11-22T10:00:05Z
mimalloc,https://github.com/microsoft/mimalloc,master,8773,mimalloc is a compact general purpose allocator with excellent performance.,2023-11-22T08:18:16Z
libvips,https://github.com/libvips/libvips,master,8518,A fast image processing library with low memory needs.,2023-11-22T09:41:48Z
xmrig,https://github.com/xmrig/xmrig,master,7894,"RandomX, KawPow, CryptoNight and GhostRider unified CPU/GPU miner and RandomX benchmark",2023-11-22T08:18:41Z
nodemcu-firmware,https://github.com/nodemcu/nodemcu-firmware,release,7481,"Lua based interactive firmware for ESP8266, ESP8285 and ESP32",2023-11-21T19:25:19Z
yugabyte-db,https://github.com/yugabyte/yugabyte-db,master,8194,YugabyteDB - the cloud native distributed SQL database for mission-critical applications.,2023-11-22T10:02:46Z
RetroArch,https://github.com/libretro/RetroArch,master,8585,"Cross-platform, sophisticated frontend for the libretro API. Licensed GPLv3.",2023-11-22T02:42:27Z
darktable,https://github.com/darktable-org/darktable,master,8049,darktable is an open source photography workflow application and raw developer,2023-11-22T05:14:18Z
TheFatRat,https://github.com/screetsec/TheFatRat,master,8468,"Thefatrat a massive exploiting tool : Easy tool to generate backdoor and easy tool to post exploitation attack like browser attack and etc . This tool compiles a malware with popular payload and then the compiled malware can be execute on windows, android, mac . The malware that created with this tool also have an ability to bypass most AV software protection .",2023-11-22T07:27:37Z
nmap,https://github.com/nmap/nmap,master,8544,Nmap - the Network Mapper. Github mirror of official SVN repository.,2023-11-21T10:49:17Z
Learn-Algorithms,https://github.com/nonstriater/Learn-Algorithms,master,7738,算法学习笔记,2023-11-22T08:39:01Z
acwj,https://github.com/DoctorWkt/acwj,master,8991,A Compiler Writing Journey,2023-11-22T08:31:45Z
gcc,https://github.com/gcc-mirror/gcc,master,8259,,2023-11-22T06:30:25Z
ccv,https://github.com/liuliu/ccv,unstable,7010,"C-based/Cached/Core Computer Vision Library, A Modern Computer Vision Library",2023-11-19T06:24:59Z
john,https://github.com/openwall/john,bleeding-jumbo,8518,"John the Ripper jumbo - advanced offline password cracker, which supports hundreds of hash and cipher types, and runs on many operating systems, CPUs, GPUs, and even some FPGAs",2023-11-22T09:18:20Z
qemu,https://github.com/qemu/qemu,master,8597,Official QEMU mirror. Please see https://www.qemu.org/contribute/ for how to submit changes to QEMU. Pull Requests are ignored. Please only use release tarballs from the QEMU website.,2023-11-22T08:53:06Z
blender,https://github.com/blender/blender,main,10118,Official mirror of Blender,2023-11-22T10:22:47Z
zephyr,https://github.com/zephyrproject-rtos/zephyr,main,8707,"Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures.",2023-11-22T07:56:07Z
janus-gateway,https://github.com/meetecho/janus-gateway,master,7497,Janus WebRTC Server,2023-11-22T07:13:07Z
catboost,https://github.com/catboost/catboost,master,7466,"A fast, scalable, high performance Gradient Boosting on Decision Trees library, used for ranking, classification, regression and other machine learning tasks for Python, R, Java, C++. Supports computation on CPU and GPU.",2023-11-22T08:13:26Z
lab,https://github.com/deepmind/lab,master,6938,A customisable 3D platform for agent-based AI research,2023-11-21T01:18:57Z
thc-hydra,https://github.com/vanhauser-thc/thc-hydra,master,8399,hydra,2023-11-22T09:11:54Z
windows-kernel-exploits,https://github.com/SecWiki/windows-kernel-exploits,master,7574,windows-kernel-exploits   Windows平台提权漏洞集合,2023-11-22T08:24:27Z
L-ink_Card,https://github.com/peng-zhihui/L-ink_Card,master,7111,Smart NFC & ink-Display Card,2023-11-22T06:31:47Z
vlmcsd,https://github.com/Wind4/vlmcsd,master,7687,"KMS Emulator in C (currently runs on Linux including Android, FreeBSD, Solaris, Minix, Mac OS, iOS, Windows with or without Cygwin)",2023-11-22T10:00:55Z
mosquitto,https://github.com/eclipse/mosquitto,master,7899,Eclipse Mosquitto - An open source MQTT broker,2023-11-22T09:46:01Z
xxHash,https://github.com/Cyan4973/xxHash,dev,7920,Extremely fast non-cryptographic hash algorithm,2023-11-22T01:24:52Z
Undecimus,https://github.com/pwn20wndstuff/Undecimus,master,6666,unc0ver jailbreak for iOS 11.0 - 12.4,2023-11-21T14:38:49Z
freebsd-src,https://github.com/freebsd/freebsd-src,main,7185,The FreeBSD src tree publish-only repository. Experimenting with 'simple' pull requests....,2023-11-22T04:36:37Z
gb-studio,https://github.com/chrismaltby/gb-studio,develop,7593,A quick and easy to use drag and drop retro game creator for your favourite handheld video game system,2023-11-21T16:14:14Z
bspwm,https://github.com/baskerville/bspwm,master,7286,A tiling window manager based on binary space partitioning,2023-11-22T06:21:13Z
mac-precision-touchpad,https://github.com/imbushuo/mac-precision-touchpad,master,7996,Windows Precision Touchpad Driver Implementation for Apple MacBook / Magic Trackpad,2023-11-22T03:52:08Z
ponyc,https://github.com/ponylang/ponyc,main,5507,"Pony is an open-source, actor-model, capabilities-secure, high performance programming language",2023-11-21T21:40:43Z
ZipArchive,https://github.com/ZipArchive/ZipArchive,main,5309,"ZipArchive is a simple utility class for zipping and unzipping files on iOS, macOS and tvOS.",2023-11-21T04:20:59Z
GameNetworkingResources,https://github.com/ThusSpokeNomad/GameNetworkingResources,master,6293,A Curated List of Game Network Programming Resources,2023-11-22T05:08:17Z
wazuh,https://github.com/wazuh/wazuh,master,7656,Wazuh - The Open Source Security Platform. Unified XDR and SIEM protection for endpoints and cloud workloads.,2023-11-22T08:54:46Z
HDMI-PI,https://github.com/peng-zhihui/HDMI-PI,main,5438,我设计的一个HDMI转MIPI模块，可以用于驱动各种手机屏幕当显示器用。,2023-11-22T10:03:06Z
kbengine,https://github.com/kbengine/kbengine,master,5337,A MMOG engine of server.,2023-11-21T21:53:02Z
mruby,https://github.com/mruby/mruby,master,5188,Lightweight Ruby,2023-11-22T08:03:28Z
dsvpn,https://github.com/jedisct1/dsvpn,master,5111,A Dead Simple VPN.,2023-11-19T21:55:05Z
mozjpeg,https://github.com/mozilla/mozjpeg,master,5246,Improved JPEG encoder.,2023-11-21T21:25:28Z
winfsp,https://github.com/winfsp/winfsp,master,6172,Windows File System Proxy - FUSE for Windows,2023-11-21T12:53:40Z
Provenance,https://github.com/Provenance-Emu/Provenance,develop,5444,"iOS & tvOS multi-emulator frontend, supporting various Atari, Bandai, NEC, Nintendo, Sega, SNK and Sony console systems… Get Started:  https://wiki.provenance-emu.com  | ",2023-11-22T08:55:29Z
bitwise,https://github.com/pervognsen/bitwise,master,5067,Bitwise is an educational project where we create the software/hardware stack for a computer from scratch.,2023-11-20T11:32:25Z
tmate,https://github.com/tmate-io/tmate,master,5373,Instant Terminal Sharing,2023-11-22T10:12:49Z
MBE,https://github.com/RPISEC/MBE,master,5212,Course materials for Modern Binary Exploitation by RPISEC,2023-11-21T23:28:37Z
IronOS,https://github.com/Ralim/IronOS,dev,6383,Open Source Soldering Iron firmware,2023-11-21T23:28:41Z
cjdns,https://github.com/cjdelisle/cjdns,master,5087,An encrypted IPv6 network using public-key cryptography for address allocation and a distributed hash table for routing.,2023-11-22T01:43:19Z
mujoco,https://github.com/deepmind/mujoco,main,6489,Multi-Joint dynamics with Contact. A general purpose physics simulator.,2023-11-22T07:57:04Z
ecapture,https://github.com/ehids/ecapture,master,7477,Capture SSL/TLS text content without a CA certificate using eBPF. This tool is compatible with Linux/Android x86_64/Aarch64.,2023-11-22T08:44:38Z
fontforge,https://github.com/fontforge/fontforge,master,5695,"Free (libre) font editor for Windows, Mac OS X and GNU+Linux",2023-11-22T10:17:10Z
HP-Socket,https://github.com/ldcsaa/HP-Socket,dev,5389,High Performance TCP/UDP/HTTP Communication Component,2023-11-22T08:26:31Z
wireshark,https://github.com/wireshark/wireshark,master,6172,Read-only mirror of Wireshark's Git repository at https://gitlab.com/wireshark/wireshark. ⚠️ GitHub won't let us disable pull requests. ⚠️ THEY WILL BE IGNORED HERE ⚠️ Upload them at GitLab instead.,2023-11-22T07:25:07Z
hackrf,https://github.com/greatscottgadgets/hackrf,master,5729,low cost software radio platform,2023-11-22T09:12:24Z
ttyd,https://github.com/tsl0922/ttyd,main,6788,Share your terminal over the web,2023-11-22T10:27:24Z
quickjs,https://github.com/bellard/quickjs,master,6558,Public repository of the QuickJS Javascript Engine. Pull requests are not accepted. Use the mailing list to submit patches.,2023-11-22T09:00:37Z
fishhook,https://github.com/facebook/fishhook,main,5025,A library that enables dynamically rebinding symbols in Mach-O binaries running on iOS.,2023-11-21T21:37:13Z
OpenBLAS,https://github.com/xianyi/OpenBLAS,develop,5607,OpenBLAS is an optimized BLAS library based on GotoBLAS2 1.13 BSD version. ,2023-11-22T09:51:49Z
sshfs,https://github.com/libfuse/sshfs,master,5284,A network filesystem client to connect to SSH servers,2023-11-22T07:07:08Z
grbl,https://github.com/grbl/grbl,master,5192,"An open source, embedded, high performance g-code-parser and CNC milling controller written in optimized C that will run on a straight Arduino",2023-11-21T10:39:43Z
redcarpet,https://github.com/vmg/redcarpet,master,4908,"The safe Markdown parser, reloaded.",2023-11-21T14:26:10Z
sysbench,https://github.com/akopytov/sysbench,master,5501,Scriptable database and system performance benchmark,2023-11-22T07:28:30Z
iperf,https://github.com/esnet/iperf,master,5859,"iperf3:  A TCP, UDP, and SCTP network bandwidth measurement tool",2023-11-21T14:02:49Z
libhv,https://github.com/ithewei/libhv,master,5962,🔥 比libevent/libuv/asio更易用的网络库。A c/c++ network library for developing TCP/UDP/SSL/HTTP/WebSocket/MQTT client/server.,2023-11-22T06:18:47Z
30dayMakeOS,https://github.com/yourtion/30dayMakeOS,master,5413,《30天自制操作系统》源码中文版。自己制作一个操作系统（OSASK）的过程,2023-11-22T07:53:47Z
HoloCubic,https://github.com/peng-zhihui/HoloCubic,main,5621,带网络功能的伪全息透明显示桌面站,2023-11-22T07:43:55Z
cmus,https://github.com/cmus/cmus,master,5108,"Small, fast and powerful console music player for Unix-like operating systems.",2023-11-22T09:19:23Z
yasea,https://github.com/begeekmyfriend/yasea,master,4808,RTMP live streaming client for Android,2023-11-17T04:30:45Z
licecap,https://github.com/justinfrankel/licecap,main,5091,LICEcap simple animated screen capture tool for Windows and OS X,2023-11-22T03:51:59Z
UACME,https://github.com/hfiref0x/UACME,master,5592,Defeating Windows User Account Control,2023-11-22T00:15:03Z
reptyr,https://github.com/nelhage/reptyr,master,5434,Reparent a running program to a new terminal,2023-11-22T04:15:26Z
proxychains,https://github.com/haad/proxychains,master,5593,"proxychains - a tool that forces any TCP connection made by any given application to follow through proxy like TOR or any other SOCKS4, SOCKS5 or HTTP(S) proxy.  Supported auth-types: ""user/pass"" for SOCKS4/5, ""basic"" for HTTP.",2023-11-22T08:59:41Z
Atlas,https://github.com/Qihoo360/Atlas,master,4655,"A high-performance and stable proxy for MySQL, it is developed by Qihoo's DBA and infrastructure team",2023-11-21T10:02:26Z
AdAway,https://github.com/AdAway/AdAway,master,6018,AdAway is a free and open source ad blocker for Android. ,2023-11-22T10:38:44Z
LiteOS,https://github.com/LiteOS/LiteOS,master,4697,code and manual,2023-11-22T09:31:54Z
streem,https://github.com/matz/streem,master,4598,prototype of stream based programming language,2023-11-17T00:55:32Z
arcore-android-sdk,https://github.com/google-ar/arcore-android-sdk,master,4816,ARCore SDK for Android Studio,2023-11-20T01:49:16Z
linux-kernel-exploits,https://github.com/SecWiki/linux-kernel-exploits,master,4984,linux-kernel-exploits Linux平台提权漏洞集合,2023-11-21T00:04:08Z
Logan,https://github.com/Meituan-Dianping/Logan,master,5418,Logan is a lightweight case logging system based on mobile platform.,2023-11-22T08:52:37Z
iodine,https://github.com/yarrick/iodine,master,5590,Official git repo for iodine dns tunnel,2023-11-22T09:11:35Z
nanovg,https://github.com/memononen/nanovg,master,4863,Antialiased 2D vector drawing library on top of OpenGL for UI and visualizations.,2023-11-21T15:49:23Z
zmap,https://github.com/zmap/zmap,main,5075,ZMap is a fast single packet network scanner designed for Internet-wide network surveys.,2023-11-21T23:13:41Z
kcat,https://github.com/edenhill/kcat,master,5048,Generic command line non-JVM Apache Kafka producer and consumer,2023-11-21T07:04:28Z
yaf,https://github.com/laruence/yaf,master,4509,"Fast php framework written in c, built in php extension",2023-11-22T08:55:27Z
colmap,https://github.com/colmap/colmap,main,6011,COLMAP - Structure-from-Motion and Multi-View Stereo,2023-11-22T10:01:42Z
firejail,https://github.com/netblue30/firejail,master,5180,Linux namespaces and seccomp-bpf sandbox,2023-11-21T16:10:17Z
pngquant,https://github.com/kornelski/pngquant,main,4864,Lossy PNG compressor — pngquant command based on libimagequant library,2023-11-21T17:24:07Z
mdp,https://github.com/visit1985/mdp,master,4793,A command-line based markdown presentation tool.,2023-11-16T19:31:00Z
dokany,https://github.com/dokan-dev/dokany,master,4871,User mode file system library for windows with FUSE Wrapper,2023-11-22T04:44:02Z
vim.js,https://github.com/coolwanglu/vim.js,master,4460,JavaScript port of Vim,2023-11-16T20:31:02Z
clib,https://github.com/clibs/clib,master,4647,Package manager for the C programming language.,2023-11-22T05:36:44Z
VeraCrypt,https://github.com/veracrypt/VeraCrypt,master,5614,Disk encryption with strong security based on TrueCrypt,2023-11-22T10:46:37Z
nvtop,https://github.com/Syllo/nvtop,master,5921,"GPUs process monitoring for AMD, Intel and NVIDIA ",2023-11-22T09:47:56Z
AliOS-Things,https://github.com/alibaba/AliOS-Things,master,4479,面向IoT领域的、高可伸缩的物联网操作系统，可去官网了解更多信息https://www.aliyun.com/product/aliosthings,2023-11-21T07:25:33Z
RIOT,https://github.com/RIOT-OS/RIOT,master,4615,RIOT -  The friendly OS for IoT,2023-11-22T09:04:33Z
ravynos,https://github.com/ravynsoft/ravynos,main,5128,A BSD-based OS project that aims to provide an experience like and some compatibility with macOS (formerly known as airyxOS),2023-11-18T02:10:49Z
jo,https://github.com/jpmens/jo,master,4518,JSON output from a shell,2023-11-20T22:51:41Z
coder-kung-fu,https://github.com/yanfeizhang/coder-kung-fu,main,5476,开发内功修炼,2023-11-22T06:42:11Z
mbed-os,https://github.com/ARMmbed/mbed-os,master,4477,Arm Mbed OS is a platform operating system designed for the internet of things,2023-11-22T08:02:59Z
rtl_433,https://github.com/merbanan/rtl_433,master,5353,Program to decode radio transmissions from devices on the ISM bands (and other frequencies),2023-11-22T00:37:37Z
s2n-tls,https://github.com/aws/s2n-tls,main,4319,An implementation of the TLS/SSL protocols,2023-11-22T03:34:38Z
htop,https://github.com/htop-dev/htop,main,5470,htop - an interactive process viewer,2023-11-22T09:37:22Z
tbox,https://github.com/tboox/tbox,master,4551,🎁 A glib-like multi-platform c library,2023-11-21T05:03:11Z
esp_wifi_repeater,https://github.com/martin-ger/esp_wifi_repeater,master,4510,A full functional WiFi Repeater (correctly: a WiFi NAT Router),2023-11-21T05:09:27Z
tcpcopy,https://github.com/session-replay-tools/tcpcopy,master,4281,"An online request replication tool, also a tcp stream replay tool, fit for real testing, performance testing, stability testing, stress testing, load testing, smoke testing, etc",2023-11-19T14:23:55Z
MangoHud,https://github.com/flightlessmango/MangoHud,master,5284,"A Vulkan and OpenGL overlay for monitoring FPS, temperatures, CPU/GPU load and more. Discord: https://discordapp.com/invite/Gj5YmBb",2023-11-22T09:45:04Z
Tesseract-OCR-iOS,https://github.com/gali8/Tesseract-OCR-iOS,master,4190,"Tesseract OCR iOS is a Framework for iOS7+, compiled also for armv7s and arm64.",2023-11-22T04:25:44Z
naxsi,https://github.com/nbs-system/naxsi,master,4744,"NAXSI is an open-source, high performance, low rules maintenance WAF for NGINX",2023-11-22T07:15:03Z
hekate,https://github.com/CTCaer/hekate,master,5700,hekate - A GUI based Nintendo Switch Bootloader,2023-11-22T07:53:10Z
xrdp,https://github.com/neutrinolabs/xrdp,devel,4939,xrdp: an open source RDP server,2023-11-22T08:11:54Z
libfuse,https://github.com/libfuse/libfuse,master,4715,The reference implementation of the Linux FUSE (Filesystem in Userspace) interface,2023-11-21T06:34:35Z
HelloWord-Keyboard,https://github.com/peng-zhihui/HelloWord-Keyboard,main,5492,,2023-11-22T08:32:46Z
phc-winner-argon2,https://github.com/P-H-C/phc-winner-argon2,master,4502,"The password hash Argon2, winner of PHC ",2023-11-20T03:07:27Z
tpotce,https://github.com/telekom-security/tpotce,master,5423,🍯 T-Pot - The All In One Honeypot Platform 🐝,2023-11-22T08:45:47Z
gravity,https://github.com/marcobambini/gravity,master,4213,Gravity Programming Language,2023-11-21T01:30:00Z
SDL,https://github.com/libsdl-org/SDL,main,7114,Simple Directmedia Layer,2023-11-22T06:36:58Z
fluent-bit,https://github.com/fluent/fluent-bit,master,4968,"Fast and Lightweight Logs and Metrics processor for Linux, BSD, OSX and Windows",2023-11-22T07:02:45Z
sioyek,https://github.com/ahrm/sioyek,main,5405,Sioyek is a PDF viewer with a focus on textbooks and research papers,2023-11-22T07:00:43Z
mgba,https://github.com/mgba-emu/mgba,master,4881,mGBA Game Boy Advance Emulator,2023-11-22T08:46:47Z
MTProxy,https://github.com/TelegramMessenger/MTProxy,master,4488,,2023-11-21T15:58:30Z
libusb,https://github.com/libusb/libusb,master,4683,A cross-platform library to access USB devices ,2023-11-22T06:44:55Z
OpenLara,https://github.com/XProger/OpenLara,master,4331,Classic Tomb Raider open-source engine,2023-11-21T23:40:47Z
loadlibrary,https://github.com/taviso/loadlibrary,master,4234,Porting Windows Dynamic Link Libraries to Linux,2023-11-20T14:45:35Z
meltdown,https://github.com/IAIK/meltdown,master,4055,"This repository contains several applications, demonstrating the Meltdown bug.",2023-11-18T23:11:40Z
sds,https://github.com/antirez/sds,master,4620,Simple Dynamic Strings library for C,2023-11-22T07:07:05Z
RediSearch,https://github.com/RediSearch/RediSearch,master,4825,"A query and indexing engine for Redis, providing secondary indexing, full-text search, vector similarity search and aggregations.",2023-11-21T18:02:20Z
dynomite,https://github.com/Netflix/dynomite,dev,4130,A generic dynamo implementation for different k-v storage engines,2023-11-22T05:36:12Z
mizu,https://github.com/up9inc/mizu,master,10015,"The API traffic analyzer for Kubernetes providing real-time K8s protocol-level visibility, capturing and monitoring all traffic and payloads going in, out and across containers, pods, nodes and clusters. Inspired by Wireshark, purposely built for Kubernetes",2023-11-22T08:26:36Z
PINRemoteImage,https://github.com/pinterest/PINRemoteImage,master,3982,"A thread safe, performant, feature rich image fetcher",2023-11-14T13:22:03Z
sokol,https://github.com/floooh/sokol,master,5358,minimal cross-platform standalone C headers,2023-11-22T01:03:41Z
Telegram-iOS,https://github.com/TelegramMessenger/Telegram-iOS,master,4941,Telegram-iOS,2023-11-22T07:49:58Z
zlib,https://github.com/madler/zlib,develop,4849,A massively spiffy yet delicately unobtrusive compression library.,2023-11-22T09:51:45Z
mpc-hc,https://github.com/mpc-hc/mpc-hc,develop,4303,MPC-HC's main repository.  For support use our Trac: https://trac.mpc-hc.org/,2023-11-22T05:20:34Z
vis,https://github.com/martanne/vis,master,4075,A vi-like editor based on Plan 9's structural regular expressions,2023-11-20T15:33:32Z
seL4,https://github.com/seL4/seL4,master,4396,The seL4 microkernel,2023-11-21T10:36:36Z
oot,https://github.com/zeldaret/oot,main,4244,Decompilation of The Legend of Zelda: Ocarina of Time,2023-11-21T08:58:43Z
katran,https://github.com/facebookincubator/katran,main,4329,A high performance layer 4 load balancer,2023-11-21T02:30:29Z
ultrajson,https://github.com/ultrajson/ultrajson,main,4170,Ultra fast JSON decoder and encoder written in C with Python bindings,2023-11-21T18:44:40Z
glusterfs,https://github.com/gluster/glusterfs,devel,4294,Gluster Filesystem : Build your distributed storage in minutes,2023-11-22T07:42:44Z
X-TRACK,https://github.com/FASTSHIFT/X-TRACK,main,4772,A GPS bicycle speedometer that supports offline maps and track recording ,2023-11-21T16:33:14Z
lxc,https://github.com/lxc/lxc,main,4276,LXC - Linux Containers,2023-11-21T06:14:11Z
LCUI,https://github.com/lc-soft/LCUI,develop,4035,"A small C library for building user interfaces with C, XML and CSS.",2023-11-21T11:42:18Z
Quake,https://github.com/id-Software/Quake,master,4344,Quake GPL Source Release,2023-11-22T02:04:24Z
fio,https://github.com/axboe/fio,master,4561,Flexible I/O Tester,2023-11-22T06:16:17Z
ossec-hids,https://github.com/ossec/ossec-hids,master,4147,"OSSEC is an Open Source Host-based Intrusion Detection System that performs log analysis, file integrity checking, policy monitoring, rootkit detection, real-time alerting and active response.",2023-11-22T07:15:24Z
Luma3DS,https://github.com/LumaTeam/Luma3DS,master,4590,"Noob-proof (N)3DS ""Custom Firmware""",2023-11-22T07:03:16Z
osv,https://github.com/cloudius-systems/osv,master,3978,"OSv, a new operating system for the cloud.",2023-11-18T12:06:59Z
mbedtls,https://github.com/Mbed-TLS/mbedtls,development,4582,"An open source, portable, easy to use, readable and flexible TLS library, and reference implementation of the PSA Cryptography API. Releases are on a varying cadence, typically around 3 - 6 months between releases.",2023-11-22T01:10:46Z
study,https://github.com/ming1016/study,master,3845,学习记录,2023-11-19T04:04:05Z
fastsocket,https://github.com/fastos/fastsocket,master,3760,"Fastsocket is a highly scalable socket and its underlying networking implementation of Linux kernel. With the straight linear scalability, Fastsocket can provide extremely good performance in multicore machines. In addition, it is very easy to use and maintain. As a result, it has been deployed in the production environment of SINA.",2023-11-17T08:04:52Z
RxFFmpeg,https://github.com/microshow/RxFFmpeg,master,4215,🔥💥RxFFmpeg 是基于 ( FFmpeg 4.0 + X264 + mp3lame + fdk-aac + opencore-amr + openssl ) 编译的适用于 Android 平台的音视频编辑、视频剪辑的快速处理框架，包含以下功能：视频拼接，转码，压缩，裁剪，片头片尾，分离音视频，变速，添加静态贴纸和gif动态贴纸，添加字幕，添加滤镜，添加背景音乐，加速减速视频，倒放音视频，音频裁剪，变声，混音，图片合成视频，视频解码图片，抖音首页，视频播放器及支持 OpenSSL https 等主流特色功能,2023-11-22T09:00:46Z
reading-code-of-nginx-1.9.2,https://github.com/y123456yz/reading-code-of-nginx-1.9.2,master,4022,nginx-1.9.2源码通读分析注释，带详尽函数中文分析注释以及相关函数流程调用注释，最全面的nginx源码阅读分析中文注释，更新完毕,2023-11-22T01:19:24Z
sslh,https://github.com/yrutschle/sslh,master,4190,Applicative Protocol Multiplexer (e.g. share SSH and HTTPS on the same port),2023-11-21T08:06:00Z
ttygif,https://github.com/icholy/ttygif,master,3860,Convert terminal recordings to animated gifs,2023-11-20T17:24:52Z
LookingGlass,https://github.com/gnif/LookingGlass,master,4253,An extremely low latency KVMFR (KVM FrameRelay) implementation for guests with VGA PCI Passthrough.,2023-11-22T09:31:42Z
tmk_keyboard,https://github.com/tmk/tmk_keyboard,master,3880,Keyboard firmwares for Atmel AVR and Cortex-M,2023-11-21T10:59:39Z
h3,https://github.com/uber/h3,master,4357,Hexagonal hierarchical geospatial indexing system,2023-11-22T04:30:48Z
tess-two,https://github.com/rmtheis/tess-two,master,3753,Fork of Tesseract Tools for Android,2023-11-22T08:04:21Z
libwebsockets,https://github.com/warmcat/libwebsockets,main,4028,canonical libwebsockets.org networking library,2023-11-21T13:03:44Z
klib,https://github.com/attractivechaos/klib,master,3914,A standalone and lightweight C library,2023-11-22T01:30:27Z
CloverBootloader,https://github.com/CloverHackyColor/CloverBootloader,master,4183,"Bootloader for macOS, Windows and Linux in UEFI and in legacy mode",2023-11-22T08:17:56Z
TIC-80,https://github.com/nesbox/TIC-80,main,4459,"TIC-80 is a fantasy computer for making, playing and sharing tiny games.",2023-11-21T10:36:39Z
gimp,https://github.com/GNOME/gimp,master,4281,Read-only mirror of https://gitlab.gnome.org/GNOME/gimp,2023-11-21T23:31:38Z
littlefs,https://github.com/littlefs-project/littlefs,master,4307,A little fail-safe filesystem designed for microcontrollers,2023-11-22T00:02:53Z
cute_headers,https://github.com/RandyGaul/cute_headers,master,3971,"Collection of cross-platform one-file C/C++ libraries with no dependencies, primarily used for games",2023-11-22T06:23:29Z
libpostal,https://github.com/openvenues/libpostal,master,3841,A C library for parsing/normalizing street addresses around the world. Powered by statistical NLP and open geo data.,2023-11-21T06:28:40Z
wrk2,https://github.com/giltene/wrk2,master,4030,"A constant throughput, correct latency recording variant of wrk",2023-11-21T17:28:58Z
qira,https://github.com/geohot/qira,master,3805,QEMU Interactive Runtime Analyser,2023-11-20T18:23:17Z
FFmpegAndroid,https://github.com/xufuji456/FFmpegAndroid,master,4464,FFmpeg实现视频裁剪、水印、转码、编解码、转Gif动图；FFmpeg本地推流、H264与RTMP实时推流直播；OpenGL滤镜特效，视频拍摄。音视频学习路线，音视频知识总结、流媒体协议,2023-11-22T10:12:31Z
kore,https://github.com/jorisvink/kore,master,3597,"An easy to use, scalable and secure web application framework for writing web APIs in C or Python. || This is a read-only mirror, please see https://kore.io/mail and https://kore.io/source for information on how to contribute via the mailing lists.",2023-11-22T04:22:55Z
flinux,https://github.com/wishstudio/flinux,master,3587,Foreign LINUX - Run unmodified Linux applications inside Windows.,2023-10-23T09:19:30Z
GmSSL,https://github.com/guanzhi/GmSSL,master,4359,支持国密SM2/SM3/SM4/SM9/SSL的密码工具箱,2023-11-22T10:19:23Z
Skill-Tree,https://github.com/linw7/Skill-Tree,master,3604,🐼 准备秋招，欢迎来树上取果实,2023-11-21T07:47:37Z
rainmeter,https://github.com/rainmeter/rainmeter,master,4088,Desktop customization tool for Windows,2023-11-21T20:47:26Z
openwrt-passwall,https://github.com/xiaorouji/openwrt-passwall,main,5691,,2023-11-22T10:11:09Z
